tech,include_new,aeo_tech,end_use,description,fuel
C_SPHC_HP_AIR-NEW,TRUE,rooftop_ashp-heat 2023 new standard,space heating,air-source heat pump typical efficiency - new,electricity
C_SPHC_HP_AIR-NEW,TRUE,rooftop_ashp-cool 2023 new standard,space cooling,air-source heat pump typical efficiency - new,electricity
C_SPHC_HP_GEO-NEW,TRUE,comm_gshp-heat 2022 typical,space heating,geo-exchange heat pump typical efficiency - new,electricity
C_SPHC_HP_GEO-NEW,TRUE,comm_gshp-cool 2022 typical,space cooling,geo-exchange heat pump typical efficiency - new,electricity
C_SPHC_HP_NG_RES-NEW,FALSE,res_type_gashp-heat 2020 typical,space heating,residential-type natural gas heat pump - new,natural gas
C_SPHC_HP_NG_RES-NEW,FALSE,res_type_gashp-cool 2020 typical,space cooling,residential-type natural gas heat pump - new,natural gas
C_SPHC_HP_NG-NEW,FALSE,gas_eng-driven_rthp-heat 2022 typical,space heating,gas-engine-driven heat pump - new,natural gas
C_SPHC_HP_NG-NEW,FALSE,gas_eng-driven_rthp-cool 2022 typical,space cooling,gas-engine-driven heat pump - new,natural gas
C_SPH_ELC_BLR-NEW,TRUE,elec_boiler 2022 typical,space heating,electric boiler - new,electricity
C_SPH_ELC_RES-NEW,TRUE,elec_res-heater 2022 large ,space heating,electric resistance heating - new,electricity
C_SPH_NG_FRN-NEW,TRUE,gas_furnace 2022 typical,space heating,gas furnace - new,natural gas
C_SPH_NG_BLR-NEW,FALSE,gas_boiler 2022 typical,space heating,gas boiler - new,natural gas
C_SPH_OIL_FRN-NEW,FALSE,oil_furnace 2022 typical,space heating,oil furnace - new,oil
C_SPH_OIL_BLR-NEW,FALSE,oil_boiler 2022 typical,space heating,oil boiler - new,oil
C_SPC_AC_ROOF-NEW,TRUE,rooftop_ac 2023 new standard,space cooling,rooftop air-conditioning - new,electricity
C_SPC_AC_WALL-NEW,FALSE,wall-window_room_ac 2022 typical,space cooling,wall-window air-conditioning - new,electricity
C_SPC_AC_RES-NEW,FALSE,res_type_central_ac 2022 typical north,space cooling,residential-type central air conditioning - new,electricity
C_OTHER,TRUE,,other,all other commercial energy demand,
