region,description,include,nrcan_id,ca_rninja,us_state,us_census_div,atlantic
ON,ontario,TRUE,ON,CA.ON,MI,east north central,FALSE
AB,alberta,TRUE,AB,CA.AB,MT,mountain,FALSE
BC,british columbia,TRUE,BCT,CA.BC,WA,pacific,FALSE
QC,quebec,TRUE,QC,CA.QC,ME,new england,FALSE
MB,manitoba,TRUE,MB,CA.MB,ND,mountain,FALSE
SK,saskatchewan,TRUE,SK,CA.SK,ND,mountain,FALSE
NLLAB,newfoundland and labrador,TRUE,ATL,CA.NF,ME,new england,TRUE
PEI,prince edward island,TRUE,ATL,CA.PE,ME,new england,TRUE
NS,nova scotia,TRUE,ATL,CA.NS,ME,new england,TRUE
NB,new brunswick,TRUE,ATL,CA.NB,ME,new england,TRUE
